type,title,url,supports
GitHub,SignKit project brief,https://github.com/pranaysuyash/signkit/blob/main/docs/SIGNKIT_PROJECT_BRIEF.md,"Current product scope, pricing and target assumptions."
GitHub,SignKit sensitive document positioning,https://github.com/pranaysuyash/signkit/blob/main/docs/analysis/2026-06-28_signkit_sensitive_document_positioning.md,Local sensitive-document wedge and vertical workflow direction.
GitHub,insurance_q launch preparedness audit,https://github.com/pranaysuyash/insurance_q/blob/main/docs/audits/launch_preparedness_audit_2026-07-20.md,Launch gaps and operational readiness.
GitHub,insurance_q strategy/compliance audit,https://github.com/pranaysuyash/insurance_q/blob/main/docs/audits/coverwise_product_strategy_monetization_scope_compliance_marketing_audit_2026-07-18.md,Safe/non-regulated boundary and narrowed policy workspace.
GitHub,MetaExtract persona system,https://github.com/pranaysuyash/metaextract/blob/main/docs/PERSONA_SYSTEM_INDEX.md,Breadth and unsupported persona/market claims discounted in scoring.
GitHub,Waypoint OS README,https://github.com/pranaysuyash/waypoint-os/blob/master/README.md,Current travel-operations workflow and product surface.
GitHub,AdShot README,https://github.com/pranaysuyash/adshot/blob/main/README.md,"Product-truth, creative, approval and publishing workflow."
GitHub,SentinelTwin README,https://github.com/pranaysuyash/SentinelTwin/blob/main/README.md,Physical-security digital twin scope.
GitHub,FieldCanvas README,https://github.com/pranaysuyash/fieldcanvas/blob/main/README.md,Semantic spatial core/platform direction.
GitHub,RadBridge README,https://github.com/pranaysuyash/radbridge/blob/main/README.md,Clinician-in-loop workflow and boundaries.
GitHub,ShopStack README,https://github.com/pranaysuyash/shopstack/blob/main/README.md,Broad local shopping architecture and scope.
GitHub,Rigs Unbound README,https://github.com/pranaysuyash/rigs-unbound/blob/main/README.md,"Playable state, evidence and exploration boundaries."
GitHub,Drape README,https://github.com/pranaysuyash/drape/blob/main/README.md,Wardrobe/try-on thesis and decision gate.
GitHub,PhotoSearch README,https://github.com/pranaysuyash/photo-search/blob/main/README.md,Local photo-search product and architecture.
GitHub,AI Glossary v2 README,https://github.com/pranaysuyash/aiglossarypro_v2/blob/main/README.md,"Content corpus, study product and current build."
GitHub,VerseSignal README,https://github.com/pranaysuyash/musicathon26/blob/main/README.md,"Knowledge graph, data, evidence and licensing constraints."
GitHub,Kenya SHIF README,https://github.com/pranaysuyash/kenya-shif/blob/main/README.md,Policy extraction and contradiction/gap analysis.
GitHub,OrbitCover D2C README,https://github.com/pranaysuyash/oc-d2c/blob/main/README.md,Flight-delay protection lifecycle and regulated/company context.
Web,Docusign eSignature pricing,https://ecom.docusign.com/plans-and-pricing/esignature,Agreement/e-signature subscription and workflow price anchors.
Web,IRDAI insurance repository FAQ,https://irdai.gov.in/faq-on-insurance-repository,"Free e-insurance account, policy storage/servicing and non-solicitation boundary."
Web,Travefy pricing,https://travefy.com/plans/pricing,Travel-advisor software buyer budget and incumbency.
Web,Tourwriter pricing,https://www.tourwriter.com/software-pricing-plans/,Higher-end travel operations price anchor.
Web,Axis Site Designer,https://www.axis.com/support/tools/axis-site-designer,"Free camera/security planning, coverage, BOM, storage and bandwidth substitute."
Web,Pebblely pricing,https://pebblely.com/pricing/,Low-cost specialist AI product-photography price anchor.
Web,Photoroom plans,https://www.photoroom.com/pricing,"Mature product-photo workflows, batch and enterprise competition."
Web,Granola pricing,https://www.granola.ai/pricing,Meeting assistant price and feature competition.
Web,Krisp pricing,https://krisp.ai/pricing/,Meeting/audio assistant price and feature competition.
